,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERROR",,,,,,,,,,,,,"Carlos"
,,,,,,,,"Nota De Envio","0",,,,"Pedido tomado :",,,,,"Nro. Bultos:",,,,"0",,,,,"7186",,,"AncientWisdom.biz",,"http://www.ancientwisdom.biz/pics/",,,,,,,"DELIVERY NOTE","David"
,,,,,,,,"Costa Import S.L. Pol. Ind. Perez Texeira, C/ Leda, Nave 8-10, CP: 29006  Málaga",,,,,"Comprobado: Empaquetado:",,,,,"Peso:",,,,,,,,,"ERROR",,,,,,,,,,,,"DELIVERY NOTE","Valeria",,,,,,,,,,,,
,"Instrucciones",,,,,,,"CIF / IVA : ES B-92544691",,,,,,,,,,"Peso aprox.",,"289.4196",,,,,,,,,,,,,,,,,,,,"Jesus"
,,,,,,,,"Cliente","Hecho por:","    Nro. cliente",,,"   Pedido Nro","Order Date",,"Fecha Ped.",,,"Order Date",,"Order Date","Today is",,,,,,,,,,,,,,,,,,"Dany",,,,,,,,,"REQ. REGALO BIENVENIDA",,
,,"Carriage",,"Forma de Pago",,,,"Nombre de la Empresa","0","0",,"20200",,,"","41788",,,"Invoice Date",,,"41888",,,,,,,,,,,,,,,,,"SAMPLE ORDER","Lucia"
,,"113.373644",,"0",,,,"Dirección",,"Instrucciones Especiales",,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"Borja"
,"+","0.0733932391598717",,"0",,,,"0",,"0",,,,,,"Cargo Min.",,"Sub Total",,"1544.74234",,"Adj Sord","Plus Balear","1",,,,,"Coste de Transporte Aprox",,"1",,,,,,,,,"Trini"
,"25.725","Pcont","0","Pedido Estandar",,,,"Dirección",,,,,,,,"S/C",,"IVA",,"324.3958914",,,"0","1",,,"Apr-02","15","Coste Base","6.3500048828125",,,,,,,,,,
,"27.0725","1431.368696","0","(Mirar Abajo)",,,,"Ciudad",,"C.I.F. / N.I.F.",,,,,,"0",," ",,"0",,"0","0",,,,,,"Cost per KG","0.390000305175781",,,,,,,,,,,,"Internet"
,"o","0.926606760840128",,,,,,"Código Postal",,"noCif",,,,,,"Portes",," ",,"0",,"Adj Carriage",,,,,,,,"1",,,,,,,,,,
,,,,,,,,,,,,,,,,"gratis",,"A pagar",,"1869.1382314",,,"Gratis",,,,,,,,,,,,,,,,,
,,,,,,,,"Pais",,,,,,,,"0",,"PD: No es su factura",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"0",,"Total Unids.",,,,,,"Precio Neto",,"Valor Venta Publico",,,,,"Credit","Retail Value",,,,"%Bcio","coste prod.","113.373644","Total lost",,,"Test Add","test2",,,,,
,,,,,,,,"Ciudad",,"118","0","0","0","118",,"1544.74234",,"3227.1524",,,,,"Order No","3227.1524",,,,,,"289.4196","Order Value",,,"2","1","1",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Retailers","List","order",,"Referencia","W","Unid.","Descripcion","Coste","Pedido","Repitan","Prod'tn","Abono","Total",,"Valor ",,"PVP",,,,"Apx Weight","289.4196",,"Sales V/unit","Cost","Margin%",,"Weight KGs","Total weight","0","value",,,"790.587","25.725","27.0725",,,
,"0.4432",,"0","AW","FO-C1",,"10","Aceite de Fragancia Amapola","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C2",,"10","Aceite de Fragancia Cannabis","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C3",,"10","Aceite de Fragancia Capuchino","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C4",,"10","Aceite de Fragancia Clavel","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C5",,"10","Aceite de Fragancia Cedro","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C6",,"10","Aceite de Fragancia Century","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C7",,"10","Aceite de Fragancia Manzanilla","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C8",,"10","Aceite de Fragancia Cereza","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C17",,"10","Aceite de Fragancia Mañana de Navidad","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C18",,"10","Aceite de Fragancia Arbol de Navidad","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C10",,"10","Aceite de Fragancia Canela y Genjibre","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C11",,"10","Aceite de Fragancia Canela y Naranja","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C9",,"10","Aceite de Fragancia Canela","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C12",,"10","Aceite de Fragancia Coco","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C13",,"10","Aceite de Fragancia Almizcle Fresco","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C14",,"10","Aceite de Fragancia Coolriver","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C16",,"10","Aceite de Fragancia Pepino","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-C15",,"10","Aceite de Fragancia Hierba Cortada","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D1",,"10","Aceite de Fragancia Almizcle de Violeta","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D2",,"10","Aceite de Fragancia Violeta","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D3",,"10","Aceite de Fragancia Frambuesa","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D4",,"10","Aceite de Fragancia Drakkon","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-D6",,"10","Aceite de Fragancia Sueño","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E1",,"10","Aceite de Fragancia Oriente Mágico","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E2",,"10","Aceite de Fragancia Elderflower","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E3",,"10","Aceite de Fragancia Aprecio","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E4",,"10","Aceite de Fragancia Eucalipto","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-E5",,"10","Aceite de Fragancia Onagra","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-F1",,"10","Aceite de Fragancia Ojos Lejanos","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-F2",,"10","Aceite de Fragancia Fuego","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-F3",,"10","Aceite de Fragancia Forever","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-F4",,"10","Aceite de Fragancia Frankincienso","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-F5",,"10","Aceite de Fragancia Freesia","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-G1",,"10","Aceite de Fragancia Gardenia","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-G2",,"10","Aceite de Fragancia Geranio","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-G3",,"10","Aceite de Fragancia Giorgia","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-G4",,"10","Aceite de Fragancia Oro","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-G5",,"10","Aceite de Fragancia Sueño Gótico","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-G6",,"10","Aceite de Fragancia Sueño Pomelo","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-H1",,"10","Aceite de Fragancia Sueño Brezo","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-H2",,"10","Aceite de Fragancia Jardín Oculto","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-H3",,"10","Aceite de Fragancia Madre Selva","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-I1",,"10","Aceite de Fragancia Verano Indio","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-I2",,"10","Aceite de Fragancia Madera India","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-J1",,"10","Aceite de Fragancia Magnolia Japonesa","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-J2",,"10","Aceite de Fragancia Jazmín","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-J3",,"10","Aceite de Fragancia Jazzy","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-K1",,"10","Aceite de Fragancia K-K-1","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L1",,"10","Aceite de Fragancia Lavanda","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L9",,"10","Aceite de Fragancia Lima-Limón","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L2",,"10","Aceite de Fragancia Burbujas de Limón","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L3",,"10","Aceite de Fragancia Almizcle de Limón","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L4",,"10","Aceite de Fragancia Hierbaluisa","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L5",,"10","Aceite de Fragancia Lila","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L6",,"10","Aceite de Fragancia Lirio del Valle","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L7",,"10","Aceite de Fragancia Lima","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L10",,"10","Aceite de Fragancia Espacio Libre","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-L8",,"10","Aceite de Fragancia Lulu","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M1",,"10","Aceite de Fragancia Almizcle Masculino","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M2",,"10","Aceite de Fragancia Mandarina","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M3",,"10","Aceite de Fragancia Mango","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M9",,"10","Aceite de Fragancia Mazapán","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M4",,"10","Aceite de Fragancia Rosa de Medianoche","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M5",,"10","Aceite de Fragancia  Millenium","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M6",,"10","Aceite de Fragancia Rayo de Luna","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M7",,"10","Aceite de Fragancia Vino Viejo","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-M8",,"10","Aceite de Fragancia Mirra","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-N3",,"10","Aceite de Fragancia Nag Champa","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-N1",,"10","Aceite de Fragancia Noche Mágica","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-N2",,"10","Aceite de Fragancia Noche Perfumada","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
,"0.4432",,"0","AW","FO-O1",,"10","Aceite de Fragancia Obsesivo","6",,,"P","0","0",,"0",,"1.25",,,,,"AW","0","0.6","0.260000152587891","0.566666666666667","0","0.033","0","0",,,,"0","0","0","1","0",,
